Título,Data,URL,Visualizações,Duração (s),Foi Live?
"Muito conveniente, né? #vtuber #biahkov #humor #tiktok #streamer #twitch #residentevil",2025-03-24T19:00:35+00:00,https://www.youtube.com/watch?v=f-Kz_CI0uYc,3064,22,upload
O problema da distorção dos shapes atuais (para de ser bitolado) - Pcini | BiahKov,2025-03-22T15:00:54+00:00,https://www.youtube.com/watch?v=gdclVcYS63s,12966,1149,upload
AS PROPAGANDAS DO YOUTUBE TÃO MUITO BIZARRAS! Haraci | BiahKov,2025-03-20T15:01:00+00:00,https://www.youtube.com/watch?v=cMQE2ic4MpQ,13760,988,upload
CR14NÇ4S QUE WEBNAMORAM kkkkkkkkkkkkkkkk - Fhany | BiahKov,2025-03-18T15:00:20+00:00,https://www.youtube.com/watch?v=B8vIX9r6eJ8,7422,702,upload
WENDIGOS SÃO BIZARROS - JJ | BiahKov,2025-03-14T15:00:03+00:00,https://www.youtube.com/watch?v=aFTJMt5ey0A,10408,1048,upload
Carnaval é o MAIOR LIXO do Brasil (só trouxa vai nisso kkkkk) - Samuel Baum | BiahKov,2025-03-12T15:01:20+00:00,https://www.youtube.com/watch?v=x-jcPTonf44,18499,1384,upload
"Web Comunistas, a solução para o Brasil é uma revolução home office? - Engeek | BiahKov",2025-03-10T15:00:12+00:00,https://www.youtube.com/watch?v=BMocIr4o1Q8,61907,2634,upload
O Youtuber que SEQUESTROU os Inscritos - Neon | BiahKov,2025-03-07T15:00:54+00:00,https://www.youtube.com/watch?v=dMkpAtpf83I,7280,960,upload
Essa MULHER não come MUITO - Saitu | BiahKov,2025-03-05T15:01:00+00:00,https://www.youtube.com/watch?v=djwEy6MaLBo,11009,697,upload
MINHA EX ME TRAIU COM O PERSONAL KKKKKKKKKK - O Petrikov | BiahKov,2025-03-02T15:00:01+00:00,https://www.youtube.com/watch?v=aKvOfP0-8Ig,8389,761,upload
Oruam PRESO no RIO DE JANEIRO kkkkk (era tudo marketing?) - Samuel baum | BiahKov,2025-02-28T15:00:51+00:00,https://www.youtube.com/watch?v=ZTC81AhmSj4,5947,834,upload
A ESCOLA hoje em dia NÃO é pra qualquer um - Saitu | BiahKov,2025-02-25T15:00:03+00:00,https://www.youtube.com/watch?v=0z4A2yB-6aw,14196,808,upload
BRIGAS DE ESCOLA SÃO UM PROBLEMA - Teuso | BiahKov,2025-02-22T15:01:11+00:00,https://www.youtube.com/watch?v=qE1Xym_PG_Q,11957,985,upload
A Triste Cultura do Funk no Brasil - Samuel Baum | BiahKov,2025-02-20T15:01:21+00:00,https://www.youtube.com/watch?v=xVL6VE7Wa1c,20158,1799,upload
TACARAM FOGO NA CASA DO BLUEZÃO! - Serginho Faoth | BiahKov,2025-02-18T15:00:32+00:00,https://www.youtube.com/watch?v=HCWaq2fXRyM,7312,998,upload
Pedidos De Desculpas pra quando VOCÊ for CANCELADO igual a CHOQUEI - Engeek | BiahKov,2025-02-15T15:00:22+00:00,https://www.youtube.com/watch?v=JaMTFSwMlO4,13052,720,upload
"Desenho de Crente, a maior fábrica de Ateus que existe - Engeek | BiahKov",2025-02-12T15:00:28+00:00,https://www.youtube.com/watch?v=O_ieabc8fGc,23986,1118,upload
🔴 Os maiores MICOS da TV! PARTE 10! Quando tudo da errado!! - Fala de tudo | BiahKov,2025-02-10T15:00:05+00:00,https://www.youtube.com/watch?v=3LdPrC7uZoQ,20337,1341,upload
vídeos CURTOS estão deixando as pessoas BURRAS - Fhany | BiahKov,2025-02-05T15:00:19+00:00,https://www.youtube.com/watch?v=9aZKt1r37Es,9071,1381,upload
"Mini Pastor Coach, expulse demônios enquanto eles dormem - Engeek | BiahKov",2025-02-02T15:00:31+00:00,https://www.youtube.com/watch?v=KS0I6tkeYuY,24510,999,upload
As piores confissões da internet - Orsay | BiahKov,2025-01-30T15:00:45+00:00,https://www.youtube.com/watch?v=UOgSaAHbx-k,22238,1495,upload
LENDO SUAS CONFISSÕES AMOROSAS - Teuso | BiahKov,2025-01-27T15:00:55+00:00,https://www.youtube.com/watch?v=lHJkCR1ySRM,16579,1613,upload
TRAIÇÃO E BARRACO NA IGREJA (e o Pastor talarico) Neon | BiahKov,2025-01-21T15:01:03+00:00,https://www.youtube.com/watch?v=iDu9-IJYWaw,16539,1189,upload
OBSERVAÇÕES DIÁRIAS (EP. 271) - Xracing | BiahKov,2025-01-18T15:00:28+00:00,https://www.youtube.com/watch?v=Q6ti--pSWNo,10369,1390,upload
ACHEI O ONLYF4NS DA MINHA MÃE.....Relatos dos inscritos - O Petrikov | BiahKov,2025-01-14T15:00:33+00:00,https://www.youtube.com/watch?v=LVcAERpC-AI,12451,903,upload
A MULHER MAIS TÓXICA QUE VOCÊ VAI CONHECER - Teuso | BiahKov,2025-01-12T18:30:42+00:00,https://www.youtube.com/watch?v=jyR4P1mkr3w,23132,1268,upload
O Pior Streamer do Mundo foi PRESO (Johnny Somali) - Neon | BiahKov,2025-01-09T15:00:41+00:00,https://www.youtube.com/watch?v=UlgHWJehZx0,15726,1317,upload
Fique na Luz... E Reze para a Energia não cair - VIRALQUEST VQ | BiahKov,2025-01-06T15:00:41+00:00,https://www.youtube.com/watch?v=VJEf_zNkWhI,14139,1167,upload
"Se gostar de Anti Herói é ""ser fascista"", me chame de Mussolini - Engeek | BiahKov",2025-01-03T15:00:50+00:00,https://www.youtube.com/watch?v=h3dyE2bZcCk,52012,1235,upload
Mamar e facil #vtuber  #fyp  #engraçado #humor  #vtuberbr,2025-01-02T21:05:27+00:00,https://www.youtube.com/watch?v=8Hf9T3g5eqs,5094,32,upload
